#Key;en;fr
ARE YOU SURE YOU WANT SPEND;Are you sure you want to spend;Êtes-vous sûr(e) de vouloir dépenser ?
ATTENTIONDAY;This action skips one day;Cette action passe une journée
ATTENTIONDAY2;Are you sure you want to do this?;Êtes-vous sûr(e) de vouloir faire ca ?
ATTENTIONSTARTUP;This action deploys the code to the servers\n\nFrom this moment the startup will work automatically;
AUDIENCE;Audience;Audience
AV. DEST. TIME;Av. Dest. Time;Temps moyen de trajet
AV. NET IDLE;Av. Net Idle;
AV. NET OVERLOAD;Av. Net Overload;
BACK;Back;Retour
BASE BLOCKS;Base Nodes;Nœud de base
BASIC;First Steps 1966 - 1998;Premières étapes 1980 - 1998
BLOCKS;Nodes;Nœud
BLOCKSSPEEDBONUS;Increases nodes work speed by;Augmente la vitesse de travail des noeuds de
BLOCKSSPEEDPERCENT;Nodes speed :;Vitesse des noeuds
bought;Bought;Acheté
C/S/T FAST SORT;Good morning.\n\nWe have a scientific satellite that aggregates data from our geomagnetic researches. But we need to put it down and launch a new one to the orbit.\nCan you help us extract and process the data from the old satellite?;Bonjour.\n\nNous avons un satellite scientifique qui enregistre les données provenant de nos recherches géomagnétiques. Mais nous devons le récupérer et en mettre un nouveau en orbite.\nPouvez-vous nous aider à extraire et exploiter les données contenues dans le vieux satellite ?
C/S/T FAST SORTT;Fast data sorting;Classement rapide des données
C/S/T MACHINE SORT;Hello.\nWe are representing a private military company. We train soldiers to behave adequately in various battle situations. We are in need of an algorithm that would pick an appropriate simulation for each soldier and adapt to their reflexes. This will help prepare soldiers for the difficulties of war, and reduce casualties to the minimum.;Salut.\nNous représentons une entreprise militaire privée. Nous entraînons les soldats à reagir adéquatement à de nombreuses situations de combat. Nous avons besoin d'un algorithme qui choisirait une simulation appropriée à chaque soldat et s'adapterait à leurs réflexes. Ca aidera à preparer les soldats aux difficultés de la guerre, et à réduire le nombre de victimes au minimum.
C/S/T MACHINE SORTT;The smart system for education and training;Le système intelligent pour l'education et l'entraînement
C/T DIVIDE;Hey, please help me! Aliens want to kidnap me! I'm building a large station to watch the sky around my house, but the image recognition system does not work! I know that all the Martian ships have round shape and those from Venus are triangular! Please divide them into two classes! I must be prepared;Hé, s'il vous plaît aidez-moi ! Des aliens veulent me kidnapper ! Je construis une large station d'observation du ciel autour de ma maison, mais la reconnaissance d'image ne fonctionne pas. Je sais que tous les vaisseaux martiens ont une forme ronde et que ceux venant de Vénus sont triangulaires ! S'il vous plaît, séparez les en deux classes ! Je dois me prepa...
C/T DIVIDET;UFO recognition system;Système de reconnaissance des OVNI
CANCEL;Cancel;Annuler
CAPSNET;Capsule neural network;Capsule réseau neuronal
CAPSNETDESCR;More stable than convolutional network;Plus stable qu'un réseau convolutionnel
CAPSNETSHOP;Capsule neural net;Capsule neurale
CASH;Cash;Argent
CAT HATS;Cat skins;Apparences de chat
CAT-CLOUD :;Cat-cloud :;Chat-cloud
CATHATS;Cat skins;Apparences de chat
CHAINSPEEDPERCENT;Transfer time :;Temps de transfert :
CHAINTIMEBONUS;Increases data transfer speed by;Augmente la vitesse de transfert de données de
CHESSKASP;Hi.\n\nAs you may know, Gasparov is to compete with AI chess computer next month.\n\nCan you write a chess bot for training?;Bonjour.\n\nComme vous le savez peut-être, Gasparov doit concurrencer l'ordinateur d'échecs de l'IA le mois prochain.\n\nPouvez-vous écrire un robot d'échecs pour vous entraîner?
CHESSKASPT;Chess bot for training Gasparov;Robot d'échecs pour entraîner Gasparov
CLOSEPR;Hi.\n\nI have a clothing store and want to know how much money I might earn during Holiday sales.\n\nHelp me!;Bonjour.\n\nJ'ai un magasin de vêtements et je veux savoir combien d’argent je pourrais gagner pendant les soldes.\n\nAidez-moi!
CLOSEPRT;Predicting the amount of sales for a clothing store;Prévoit le total des ventes pour un magasin de vêtements
COMING SOON;Coming soon;Bientôt disponible
COMPLETE;Complete;Complet
CONGRATULATIONS;Congratulations!;Félicitations !
CONTINUE;Continue;Continuer
CONTINUE JOB;Continue;Continuer
CONV;Convolutional neural network;Réseau de neurones convolutionnel
CONVDESCR;Powerful instrument for image recognition;Instrument puissant pour la reconnaissance d'image
CONVSHOP;Convolutional net;
CRSIMSTYLE;Hello. I’m a very famous writer. A VERY lazy one, too. My fans really want me to write the next book of my “Song of Cold and Walkers” series ASAP. But all I want is to jump on a trampoline instead! Can you create a program which can write a book for me? Oh, and we need as many character deaths as possible in that book!;
CRSIMSTYLET;Create a text with a similar style;Créer un texte avec un style similaire
CUSTOM BLOCKS;Custom Nodes;Noeuds personnalisés
CUSTOM BLOCKS HELP TITLE;Custom Nodes;Noeuds personnalisés
CUSTOMHELP;You can re-use your schemes from earlier tasks in the next ones\n\nThese custom nodes don't spend time on transferring data\n\nYou can edit your custom schemes at any time: simply double click the right mouse button on them;Vous pouvez réutiliser les schémas que vous avez conçus pour les tâches précédentes.\n\Ces noeuds personnalisés ne dépensent pas de temps en transfer de données.\n\n A tout moment, vous pouvez éditer vos noeuds personnalisés : faites simplement un double-cli droit sur l'un d'eux.
day;Day;Jour
DECISION TREE COLOR HELP GAME;This node compares socket's colors with element's color and chooses the socket with a minimum amount of errors\n\nIf the element color is equal to only one socket's color then element moves to that socket\n\nIf element's color satisfies both conditions, or don't satisfy any conditions, then moves to the random socket;
DECISION TREE COLOR HELP HISTORY;"Decision tree is one of the basic machine learning algorithms\n\nEach tree ""knows"" a limited number of classes\n\nWhen the decision tree gains an element, it ""asks"" the element some questions and chooses the class most similar to the element";
DECISION TREE COLOR HELP TITLE;Decision tree: color;
DECISION TREE SHAPE HELP GAME;This node compares socket's colors with element's color and chooses the socket with a minimum amount of errors\n\nIf the element color is equal to only one socket's color then element moves to that socket\n\nIf element's color satisfies both conditions, or don't satisfy any conditions, then moves to the random socket;
DECISION TREE SHAPE HELP HISTORY;"Decision tree can use more complex dependencies\n\nFor example, each ""question"" may be a SIFT node, which is trying to find an ""eye"", ""mouth"", ""tail"" or ""wheel""\n\nAs a result, decision tree may detect a human, mouse or car on an image";
DECISION TREE SHAPE HELP TITLE;Decision tree shape;
DEEPL;Deep machine learning 2012 - nowadays;
DEFAULTCAT;-;-
delay;Work time;Temps de travail
DELETE;Delete;Supprimer
deploy;Deploy;
DEPLOY RUN :;Release run :;
DON'T SHOW NEXT TIME;Don't show next time;Ne plus afficher
done;Accept;Accepter
DUPLICATOR HELP GAME;This node creates several copies of the element;
DUPLICATOR HELP HISTORY;One of the steps in genetic algorithm \n\n creates clones of a given object \n \n it helps to train algorithm faster;
DUPLICATOR HELP TITLE;Duplicator;
emptymail;Inbox empty;
ENDWIN;Thanks for finishing the game!\nLet's keep in touch: we might be adding new levels and other stuff to the game. Subscribe to <color=#ffbd18>luden.io</color>,<color=#ffbd18> twitter.Com/luden_io</color>, <color=#ffbd18>twitter.com/whiletruegame</color> and stay tuned for more info!;
EPOCH;Epoch;Époque
error;Attention;Erreur
ESTCOST;Hello. I want to sell my flat, but don't know how much money it really costs.;Salut. Je veux vendre mon appartement, mais je ne sais pas combien il vaut vraiment.
ESTCOSTT;Estimation of the cost of an apartment;Estimation du prix d'un appartement
estimated cost;Estimated cost;Prix estimé
EVOLVE;Evolve;
EVOLVER;Hello. We are writing to you from our scientific laboratory.\nWe want to launch a scientific startup!\n\nWe need a programmer who can write a small part of it - an optimization library which will be using a genetic algorithm.;
EVOLVERT;Evolver;
exit;Back;Retour
FAILED;Failed;Échec
FALLOUT;Wasteland helmet;
FALLOUTDESCR;Courier's outfit;
FAST R MACHINE;Good day. We are engaged in repair and maintenance of aircrafts. We need to be able to predict all possible problems which can happen in the air.\n\nCan you craft an algorithm that would do it for us?;
FAST R MACHINET;Control system error;
FAST TEXT COPY;Hello. We are the developers of the while True: lean() game and we've made this task especially for you. Our game will be released on Steam soon, so we must write a short description of our game! You need to create a program that auto-generates small texts that can match the game's description.\nPlease do it as fast as you can, it helps us creating a wonderful game!;
FAST TEXT COPYT;Description generator;
FDP;Tovarisch, you were selected to create face recognition system for the KGB. Be proud of it. The deadline is tomorrow. This message will self-destruct upon reading.;
FDPT;Face recognition from a photo;
FILMMARK;Hello. This message is from the ?sgar committee.\n\nWe want to replace some of our experts with a neural network. Please design a system that could rate  movies by their type.\nThanks.;
FILMMARKT;Automatic movie rater;
FIRST PAYMENT;First payment;
FIRST PERCEPTRON;Good morning, tovarish!\n\nWe know that someone from the USA created a system which can recognize the alphabet.\n\nYou must create a copy of that system for the KGB! The handwriting of the USA spies is awful.;
FIRST PERCEPTRONT;Alphabet recognition system;
FIX;Hello.\n\nWe have some errors in our questionnaires data. We can't solve the problem by ourselves...\n\nCan you please fix it?;
FIX2;Hello, it's us again!\n\nWe found some new types of errors made by our users. Please, update your program.\n\nIt will be easier if you will use the previous version of the code.;
FIX2T;Errors in database #2; Erreur dans la base de données #2
FIX3;Hi. It's us again! \n\nWe hope it's our last request for you. We've changed our database system. Can you update your code one last time? We need it to work faster.\n\nThanks.;
FIX3T;Optimization of the code;Optimisation du code
FIXT;Errors in database;Erreur dans la base de données
FREESOCKETS;In this task all sockets (with incoming and outgoing data) must be connected;
FRIEND;Hey, what's up buddy! How are you?\nListen, I know I wasn't paying you for quite a long time. And I'm very grateful that you wasn't demanding your paycheck for so long. But to be in debt, even to a friend, is not cool at all, right? Therefore, take this money you've honestly earned! Thank you, friend! You've really helped me out. Yeah, and how about we go to a concert next week?;
FRIENDT;A letter from a friend;Une lettre d'un ami
GAN;GAN;
GANDESCR;Can create everything;Peut tout créer
GANSHOP;GAN;
GENETIC;First victories 1998 - 2006;Premières victoires 1998 - 2006
GENETIC DECISION;Genetic solver;
GENETIC DIVIDE 2;Hey there. You know, I’m a big gambler. I'm going to Vegas next week and hopefully I'll make some money. Did I say 'some'?\n\nI meant to say HUGE money. I need you to write some code, or whatever you do there, and predict all the ways to win in roulette. If you do everything right, 5% of whatever I score is yours. Can you handle it? Please find some related data enclosed.;
GENETIC DIVIDE 2T;Prediction of winnings in a casino;Prédictions de gains dans un casino
GENETIC EVOLUTION ALGORITHM HELP GAME;"Train model in test run, until the ""evolve"" button does not light up \nThen click on it \n It creates ""clone"" with modified error (positive or negative)";
GENETIC EVOLUTION ALGORITHM HELP HISTORY;"One of the most powerful self-learning non-neural algorithms \n \n It simulates biological evolution process (proliferation, mutation, extinction) \n \nOnly solutions which close to optimum ""survive""";
GENETIC EVOLUTION ALGORITHM HELP TITLE;Genetic solver;
GOOD LUCK AND HAVE FUN!;Good luck and have fun!;Bonne chance et amusez-vous bien !
GOOGLECAT;Qoogle glasses;Qoogle glasses
GOOGLECATDESCR;Looks innovative;
GRADIENT DESCENT;Gradient descent;
GRADIENT DESCENT HELP GAME;Each element in the game has a small error-fix value\n\nThis block increases this value\n\n<color=#ffbd18>This node isn't working in release run</color>;
GRADIENT DESCENT HELP HISTORY;"Gradient descent is one of the basic algorithms which can train models (not only neural networks)\n\nGradient descent calculates ""gradient"" of all objects and ""steps"" closer to the target answer for the task\n\n It takes a lot of time";
GRADIENT DESCENT HELP TEXT;Gradient descent;
HARDWARE;Hardware;
HELLO, FRIEND!;Hello, friend!;Salut, mon ami !
HIDEBOUGHT;Hide purchased items;Masquer les articles achetés
IF COLOR HELP GAME;This node compares colors\n\nIf the color of the element is equal to the chosen color, the element comes into the top socket \n \n Others go to the bottom socket;
IF COLOR HELP HISTORY;"Before the invention of self-learning algorithms people used expert systems\n\nThese algorithms tried to use hardcoded comparisons similar to human ""experts"" decisions \n \n It worked terribly";
IF COLOR HELP TITLE;Expert system;
IN GAME;In game;En jeu
in progress;In progress;En progression
IN REAL WORLD;In real world;Dans la réalité
INCREASE ERROR REDUCING SPEED;Increase error reducing speed;
INTROTEXT;This is a tycoon game that will give you an opportunity to take the role of a machine learning specialist and evolve from a rookie to a professional.\n\nWe hope that our game will help you understand machine learning better.;
INTROTEXT2;You can write us if you have any questions: \n<color=#ffbd18>info@luden.Io</color>\nfollow us on twitter :\n<color=#ffbd18>@whiletruegame</color>;
INTROTEXT3;Welcome to the game;
INTROTEXT4;This a just game. Please don’t try to actually write programs with it. If you do, we admire your bravery!;
IT WILL COST;That'll cost;Cela coûtera
JACKPOT;"Hello!\nYou've registered in the prize-winning lottery ""PrizePool""\nWe're happy to let you know that your registration number won in our last drawing!\nCongratulations!\nThe money will be sent to the bank account stated during registration.";
JACKPOTT;Mail from lottery;Mail de la loterie
KILLER;Towel;Serviette
KILLERDESCR;Looks like a priest robe;Ressemble à une robe de prêtre
LAUNCH;Launch;Lancer
LEARN SMTH NEW;C-Bay;C-Bay
LOAD BALANCER HELP GAME;This block routes elements to the least overloaded socket\n\n<color=#ffbd18>Warning: this block requires additional server cost</color>;
LOAD BALANCER HELP HISTORY;A load balancer is a device that distributes network or application traffic across a cluster of servers\n\nLoad balancing improves responsiveness and increases the availability of applications;
LOAD BALANCER HELP TITLE;Load balancer;
LOCKED;Locked;Verrouillé
LOSEGAME;You’re bankrupt. Now you need to start from the checkpoint.\nBetter keep an eye on your funds next time!;Tu es en banqueroute. À présent tu dois recommencer au précédent checkpoint.\nIl vaudrait mieux garder un oeil sur tes fonds la prochaine fois!
LSTM;LSTM;
LSTMDESCR;Remembers more than a simple RNN;
LSTMSHOP;LSTM;
MACHINE SORT;Hello.\nWe need to build a smart system that can help students learn English faster. This system needs to be able to pick an apropriate curriculum for each student.\nCan you design something like it please?;
MACHINE SORTT;Recommendation system;
MARK-1 PERCEPTRON;MARK-1 Perceptron;MARK-1 Perceptron
MARK-1 PERCEPTRON HELP GAME;In test run, perceptron reduces the amount of errors while trying to predict the shape of elements\n\nIn deploy run, perceptron only predicts shapes;
MARK-1 PERCEPTRON HELP HISTORY;Rosenblatt's perceptron used in MARK-1\n\nThis perceptron could recognize only simple (linear) dependencies\n\nBut it was enough to recognize English letters;
MARK-1 PERCEPTRON HELP TITLE;MARK-1 perceptron;MARK-1 Perceptron
MARS;Hello.\n\nI own a space observation station. This year I've made quite a lot of photos. Now I need to process them in order to find Mars on them, which I it for my latest research.\nCan you help me with this task?;
MARST;Observations of Mars;Observations de Mars
MAXPROF;Hi. Can you predict when the Apocalypse will happen? We want to sell as many canned goods as possible, but we are afraid that people will not have much enthusiasm towards them, while the times are good.;
MAXPROFT;Maximize sales profit;Optimiser le profit des ventes
Memory;Memory;Mémoire
MENU;Menu;Menu
money;Money;Argent
MONEY SPEND;Money spent;Argent dépensé
MONEY TRANSFER RECEIVED;Money transfer received;Transfert d'argent reçu
NAME;Good morning! We are running a big social survey in schools and we've encountered a problem. Our students often forget to mention their grade in the questionnaires. Can you divide pupils from junior and high school based on their test sheets?;
NAMET;School problems;Problèmes scolaires
NEURAL;Neural Networks 2006 - 2012;Réseaux neuronaux 2006 - 2012
NEWSPAPER DEEP BODY;There are neural networks that solve the so-called “xor problem” (an unsolvable problem for Rosenblatt's perceptron). They have one “hidden” layer between the input and output layers. Such networks are called “non-deep”. \n \n If the network has more than one hidden layer, it is called “deep”. The deeper the network, the more complex dependencies it is able to recognize. For example, the current image recognition networks include several thousand hidden layers. Amazing, isn't it?;
NEWSPAPER DEEP TITLE;Deep neural nets;
NEWSPAPER KASPAROV BODY;One of the greatest chess games of all time is, without a doubt, the battle between Garry Kasparov and the Deep Blue supercomputer by IBM i1997. The first game was very difficult and tense, Kasparov had an advantage at first, but starting from move 44, many believe that he ceased to understand the logic of the computer, and in the end, lost the entire game.;Une des meilleures parties d'échecs de tous les temps est, sans aucun doute, la bataille entre Garry Kasparov et Deep Blue, le super-ordinateur d'IBM i1997. La première partie a été très difficile et tendue, Kasparov avait un avantage au départ, mais à partir du 44ème mouvement, beaucoup pensent qu'il a cessé de comprendre la logique de l'ordinateur, et au final, il a perdu la partie.
NEWSPAPER KASPAROV TITLE;World champion vs genetic algorithm;Champion du monde vs. algorithme génétique
NEWSPAPER NEURON TYPE BODY;"In neural nets, programmers use a vast range of different neurons. Inside each neuron, a math function is located.\n\nFor example, Rosenblatt's neuron used a linear function. Simple neural net, which can solve ""xor problem"", uses ""relu"" function.\n\nThese functions are called ""activators"". For different tasks people use different activators which will be more suitable for certain cases. To solve more difficult issues, a combination of neurons with different activators is used.";
NEWSPAPER NEURON TYPE TITLE;Neural networks architecture;
NEWSPAPER NON-NEURAL EPOCH BODY;"Mankind has always been trying to create an artificial intelligence. Before the invention of neural networks, people used expert systems.\n\n An expert system is a deterministic algorithm, which reproduces decisions of a real person.\n\nAn example this is ""ELIZA"", the very first chat bot in the world. It was created in 1966, and ""talked"" with the patient using questions similar to real psychotherapist's.\n\nIt worked horribly.";
NEWSPAPER NON-NEURAL EPOCH TITLE;Non-neural artificial intelligence;
NEWSPAPER PERC FAILED BODY;"In 1969 Seymour Papert & Marvin Lee Minsky wrote a book called ""Perceptrons"". In this book they talk about math constraints of the first perceptrons. (XOR problem).\n\nThis book has shifted the scientific interest and funds distribution from the US Government organizations, slowing down the progression of machine learning for almost 30 years.\n\nThe expanded version of the book was released in 1987, containing the chapters that disproved the statements from the critical remarks made since 1969.";
NEWSPAPER PERC FAILED TITLE;The Darkest Years of Machine Learning;Les années les plus sombres du Machine Learning
NEWSPAPER RNN BODY;"In summer of 2017, a programmer named Zack Tutt created an RNN (Recurrent Neural Network), which predicts the events of george R. R. Martin's sixth book, ""The Winds of Winter"". \n \nThe neural network wrote the end of the story by analyzing the plot and style of the previous books. Chapters written by that program confirmed many fan theories.";
NEWSPAPER RNN TITLE;A Book by a Recurrent Neural Network;
NEWSPAPER ROSENBLATT'S PERCEPTRON BODY;First perceptron (machine neuron) was invented by Frank Rosenblatt in 1957\n\nFrank created MARK-1 in 1960\n\nMARK-1 is a perceptron machine that can recognize English letters by their shapes;
NEWSPAPER ROSENBLATT'S PERCEPTRON TITLE;Rosenblatt's Perceptron;Perceptron de Rosenblatt
NEXT JOB;Continue;Projet suivant
NICKNAME :;Enter your Nickname:;Pseudo:
no;No;Non
NVIDIASHOP;Gvidia 250;Gvidia 250
OCCUPANCY;Occupancy;
OK;Ok;Ok
ONLY R/R PARALLEL;Good morning. We're contacting you on behalf of Yahuus Corp.\n\nThe president of our partner venture has been dismissed last month and the Board of directors is in the process of electing a new one. We need to be able to predict who will win the election, so we could make a decision about the future of our partnership with said venture.\nMake it happen, and you will get a handsome reward.;
ONLY R/R PARALLELT;Prediction of president elections;Prédiction des élections présidentielles
ONLY SQUARE;Hello.\nOur post office desperately needs your help! We have too many letters incoming from a number of countries. We need to sort them by postage stamps: square-shaped - from Europe, round - from Asia. At this moment, we only need letters from Europe, can you make it happen? We need it desperately!;
ONLY SQUARE 60%;Good morning. We work for a construction company. We need to ensure that the windows we want to install are designed accurately.\n\nPlease create a program for smartphones that could proof-check our designs for potential mistakes.;
ONLY SQUARE 60%T;Photo parsing instrument for a construction company;
ONLY SQUARET;Shape recognition;Reconnaissance de forme
ONLY TRIANGLE;Good day. I study ancient manuscripts and books in order to figure out the true story behing the Illuminati secret society.\n\nI need to recognize all the triangle shapes in these documents to solve the puzzle.\n\nCould you design a program that would do that for me?;
ONLY TRIANGLET;Illuminati origins;
ORT;Hello.\n\nWe are repairing the road surface in our city every day. Not surprisingly, it generates some problems with the road traffic. We ask you to write a pathfinding system.\n\nThanks.;
ORTT;Optimize roadway traffic;Optimisation des feux de traffic routiers
OUTPUTS;Outputs;Sorties
OVERLOAD;Overload;
PARENTS;Hello, dear.\n\nWe remember how you cherish your financial independence, but come on, your B-day is just around the corner! Be a good kid and take this money and buy yourself something nice, will you? We love you very much and we miss you.\n\nP.S. Do not forget to put a hat on. It's very cold outside.;
PARENTST;A Letter from Mom and Dad;Une lettre de maman et papa
PERCEPTRON COLOR HELP GAME;While in test run, the perceptron reduces the amount of errors trying to predict the color of the elements \n \n In deploy run, the perceptron only predicts colors;
PERCEPTRON COLOR HELP HISTORY;"Unlike Rosenblatt's perceptron, present-day perceptrons can predict more complex (non-linear) dependencies. \n \nMost common functions inside the perceptrons are ""tanh"", ""relu"" and ""sigmoid"" \n \n Perceptrons are the basic elements of each neural network";
PERCEPTRON COLOR HELP TITLE;Perceptron color;
PERCEPTRON SHAPE HELP GAME;While in test run, the perceptron reduces the amount of errors trying to predict the color of the elements \n \n In deploy run, the perceptron only predicts colors;
PERCEPTRON SHAPE HELP HISTORY;"Unlike Rosenblatt's perceptron, present-day perceptrons can predict more complex (non-linear) dependencies. \n \nMost common functions inside the perceptrons are ""tanh"", ""relu"" and ""sigmoid"" \n \n Perceptrons are the basic elements of each neural network";
PERCEPTRON SHAPE HELP TITLE;Perceptron shape;
PLAYER;Player;Joueur
PPE;Good morning.\n\nI need to know who to vote for. Can you predict the winner of the next presidential elections?\n\nI will send you a big database.;
PPET;Predict president elections;Prédire les élections présidentielles
PRETRAINED GENETIC;Good morning. Our research center helps extracting data from social surveys.\nWe are facing issues and chances are good, we won't make it by the deadline.\nPlease write a program that can extract as much information as fast as possible. If possible, make it self-learning, too.;
PRETRAINED GENETICT;Genetic algorithm training;
PROFIT;Profit;Profit
QAS;My butler transformed into a synth. Please write a new one. I prefer someone like an aborigine from Robinson Crusoe.;Mon majordome s'est transformé en ... . Codez en un nouveau. Je préfererai quelqu'un comme un aborigène de Robinson Crusoé
QAST;Question-answer system;Système de question-réponse
R/G DIVIDE 50%;Good morning.\n\nWe are a scientific laboratory specializing in human behavior research. We need to extract the results of our last research from our equipment across the city. This is a very sensitive important information, so, please, be very accurate!;
R/G DIVIDE 50%T;Human behavior research;Recherches sur le comportement humain
R/G DIVIDE 75%;Good afternoon!\n\nWe represent the Money Bag bank. We want you to create a system for sorting candidates applying for loans. We believe that cold, soulless mind of the machine will help us save more money than our regular, empathy-corrupted human clerks.\nWe would very much appreciate it if you'd complete the task before the Holidays.;
R/G DIVIDE 75%T;Client's solvency assessment;Estimation de la solvabilité du client
R/G/B SORT;Good morning.\nWe have dozens of scientific equipment placed in protected areas for the sake of looking after the objects of national heritage. We're parsing info from our equipment on a daily basis and need to sort it depending on the color of the report. Can you make a program that will help us?;
R/G/B SORTT;National heritage protective system;Système de protection de l'héritage national
R/R PARALLEL;Hello! We represent a scientific center. Our current programs are underperforming. Can you parallelize our calculations?;
R/R PARALLELT;Parallel calculations;Calculs parallèles
R/R/R/R PARALLEL;Hey, our parallelization system broke after the last Doors OS upgrade.\n\nCan you fix it? It is a very big system, be careful!;
R/R/R/R PARALLELT;Large parallel calculations;Grands calculs parallèles
RAMSHOP;1 MB RAM;1 MB RAM
RC/BT DIVIDE;Hello. The contents of this message is classified by the FBI.\n\nWe have received information that someone had created a face recognition system for the KGB. Now our agents are facing certain difficulties in their daily operations.\nWe need you to create a system that can surpass the KGB technologies.;
RC/BT DIVIDET;Classified mail #648232;Mail classifié #648232
RECURENT NEURAL NETWORK CELL HELP GAME;The node sockets are divided into 2 types: base nodes and memory nodes\n\nThe node tries to calculate the next element in the sequence using its previous predictions. \n\nRNN nodes can be connected in a common sequence where each next node uses the results of the previous node's prediction in its work.;
RECURENT NEURAL NETWORK CELL HELP HIST;"This type of neural layer can remember some information about sequences of elements (letters for example)\n\nIt can ""reproduce"" the style of the given text and rewrite another one using this knowledge";
RECURENT NEURAL NETWORK CELL HELP TITLE;Recurrent neural network layer;
RED MACHINE;We've detected some dangerous asteroids in the space. Now we need to be able to predict their trajectories in order to avoid a potential catastrophe.\n\nWe need an algorithm to calculate that, and fast! Some of those space rocks may destroy the Moon!;
RED MACHINET;Meteorite alarm;
RELEASE AND CHECK;Release;Publier
RELU;RELU;
reset;Reset progress;Réinitialiser l'avancement
